numel numnp nmat plane_stress_flag 
146 176   1   1
matl no., E modulus, Poisson Ratio, mass 
  0 30000000.000000 0.300000 1.000000
el no.,connectivity, matl no
  61 4.500000 25.000000 
  62 0.000000 20.000000 
  63 0.000000 15.000000 
  64 0.000000 10.000000 
  65 0.000000 5.000000 
  66 5.000000 0.000000 
  67 10.000000 0.000000 
  68 15.000000 0.000000 
  69 20.000000 0.000000 
  70 25.000000 0.000000 
  71 30.000000 0.000000 
  72 35.000000 0.000000 
  73 40.000000 0.000000 
  74 45.000000 0.000000 
  75 50.000000 5.000000 
  76 50.000000 10.000000 
  77 50.000000 15.000000 
  78 50.000000 20.000000 
  79 45.500000 25.000000 
  80 41.000000 25.000000 
  81 36.500000 25.000000 
  82 31.000000 21.000000 
  83 31.000000 22.000000 
  84 31.000000 23.000000 
  85 31.000000 24.000000 
  86 19.000000 21.000000 
  87 19.000000 22.000000 
  88 19.000000 23.000000 
  89 19.000000 24.000000 
  90 30.485521 17.528437 
  91 29.568479 14.898357 
  92 30.314983 16.307268 
  93 26.301147 13.972710 
  94 30.300430 18.101238 
  95 27.939325 14.169146 
  96 30.826176 18.976921 
  97 21.605057 15.043798 
  98 19.011627 18.673193 
  99 20.767101 15.756254 
 100 20.290926 16.634359 
 101 22.499725 14.359561 
 102 19.339279 16.849100 
 103 23.775694 14.044477 
 104 20.949993 14.315724 
 105 19.738893 14.916103 
 106 15.541973 23.316870 
 107 34.208645 23.946339 
 108 24.457924 10.867327 
 109 26.150890 10.614107 
 110 23.201677 11.288746 
 111 34.533089 18.002457 
 112 16.174450 18.599180 
 113 16.316641 21.593926 
 114 34.269558 19.626621 
 115 16.830582 19.765976 
 116 34.153389 22.065174 
 117 21.089714 9.852439 
 118 34.815971 15.668240 
 119 37.450108 18.222473 
 120 14.543254 21.458206 
 121 36.395180 23.432163 
 122 23.877081 6.287331 
 123 38.147343 15.648549 
 124 25.564461 8.920759 
 125 12.036744 21.468477 
 126 20.374601 6.258975 
 127 31.330353 8.938306 
 128 17.342312 9.922807 
 129 38.577255 12.372268 
 130 12.129353 17.786207 
 131 14.428389 13.398240 
 132 28.319130 9.954562 
 133 26.861237 7.350680 
 134 24.658756 3.275369 
 135 12.605077 7.071714 
 136 8.278786 21.204884 
 137 35.074246 8.444825 
 138 20.159992 3.041906 
 139 41.591988 12.980510 
 140 45.633942 20.179491 
 141 41.102299 20.080208 
 142 4.147029 20.669146 
 143 11.122217 13.997970 
 144 13.580795 10.302728 
 145 39.431835 8.710568 
 146 29.609961 4.559979 
 147 44.911087 4.954180 
 148 34.916599 4.275468 
 149 6.026220 5.586979 
 150 5.436223 11.344497 
 151 44.467800 10.317293 
 152 11.076254 3.770863 
 153 15.640147 3.218464 
 154 39.897556 4.486128 
 155 45.653217 15.510922 
 156 4.241585 16.131176 
 157 41.832394 16.055775 
 158 9.810299 10.792309 
 159 8.360017 14.423291 
 160 9.543431 7.960156 
 161 34.236336 23.129223 
 162 34.094536 20.902227 
 163 35.040314 12.378245 
 164 16.473158 22.615686 
 165 16.449280 20.531185 
 166 15.213776 16.437643 
 167 14.785680 19.638231 
 168 8.064283 17.351911 
 169 23.717064 8.824272 
 170 16.488621 6.522587 
 171 36.112343 22.036945 
 172 38.546822 23.136118 
 173 38.235615 21.368305 
 174 36.440987 19.934998 
 175 35.666622 20.975515 
prescribed displacement x: node  disp value
  12 0.000000
  13 0.000000
  62 0.000000
  63 0.000000
  64 0.000000
  65 0.000000
 -10
prescribed displacement y: node  disp value
  12 0.000000
  13 0.000000
  62 0.000000
  63 0.000000
  64 0.000000
  65 0.000000
 -10
node with point load and load vector in x,y
  14 100.000000 0.000000
  15 100.000000 0.000000
  75 100.000000 0.000000
  76 100.000000 0.000000
  77 100.000000 0.000000
  78 100.000000 0.000000
 -10
